,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
799,Walter McGowan,,,Flyweight,,,,40,32,14,7,1,,M,,,,,Sagittarius,flyweight
800,Chartchai Chionoi,1942-10-10,,,1.65 m (5 ft 5 in),166 cm (65 in),Orthodox,,61,,18,3,,M,165 ,165.1,,,Libra,
801,Efren Torres,1943-11-29,,Flyweight,1.63 m (5 ft 4 in),,Orthodox,,64,,9,1,,M,163 ,,,,Sagittarius,flyweight
802,Erbito Salavarria,1946-01-20,"Santa Cruz, Manila, Philippines",Flyweight,,,,54,40,11,11,3,0,M,,,Philippines,Filipino,Aquarius,flyweight
803,Venice Borkhorsor,1950-04-06,"Tha Uthen, Nakhon Phanom, Thailand",Flyweight/Bantamweight,,,Southpaw,57,49,36,8,,,M,,,Thailand,Thai,Aries,flyweight
804,Miguel Canto,1948-01-30,"Mérida, Yucatán, Mexico",Flyweight,5 ft 0+1⁄2 in (154 cm),63 in (160 cm),Orthodox,74,61,15,9,4,,M,154 ,160,Mexico,Mexican,Aquarius,flyweight
805,Park Chan-Hee,1957-03-23,"Busan, First Republic of Korea(nowadays South Korea)",Light flyweight/Flyweight,5 ft 3+1⁄2 in (161 cm),,Orthodox,23,17,6,4,2,,M,161 ,,South Korea,South Korean,Aries,light flyweight
806,Shoji Oguma,1951-07-22,"Koriyama, Fukushima, Japan",Flyweight,5 ft 4 in (1.63 m),,Southpaw,49,38,20,10,1,,M,163 ,,Japan,Japanese,Cancer,flyweight
807,Antonio Avelar,1958-08-28,"Guadalajara, Jalisco, Mexico",Lightweight/Featherweight/Bantamweight/Flyweight,5 ft 7 in (173 cm),72 in (183 cm),Orthodox,53,39,32,13,1,,M,173 ,183,Mexico,Mexican,Virgo,flyweight
808,Prudencio Cardona,1951-12-22,"San Basilio de Palenque, Colombia",Flyweight,5 ft 6 in (170 cm),,Orthodox,63,39,27,23,1,,M,170 ,,Colombia,Colombian,Aquarius,flyweight
809,Freddy Castillo,1955-06-15,"Mérida, Yucatán, Mexico",Light flyweight/Flyweight,5 ft 3 in (160 cm),,Southpaw,68,45,30,18,5,,M,160 ,,Mexico,Mexican,Gemini,light flyweight
810,Eleoncio Mercedes,1957-09-12,"La Romana, Dominican Republic",Flyweight,5 ft 6 in (168 cm),,Orthodox,28,14,3,12,2,,M,168 ,,Dominican Republic,Dominican,Virgo,flyweight
811,Charlie Magri,1956-07-20,"Tunis, Kingdom of Tunisia",Flyweight,5 ft 3 in (160 cm),64 in (163 cm),Orthodox,35,30,23,5,,,M,160 ,163,Tunisia,Tunisian,Cancer,flyweight
812,Frank Cedeno,1958-03-16,"Talisay City, Cebu, Philippines",Flyweight,,,,56,43,23,10,3,,M,,,Philippines,Filipino,Pisces,flyweight
813,Gabriel Bernal,1956-03-24,"Cruz Grande, Mexico",Flyweight,5 ft 2+1⁄2 in (159 cm),68 in (173 cm),Southpaw,60,43,28,14,3,,M,159 ,173,Mexico,Mexican,Aries,flyweight
814,Sot Chitalada,1962-05-05,"Saen Suk Subdistrict,Mueang Chonburi district,Chonburi province, Thailand",Light flyweight/Flyweight,5 ft 4 in (163 cm),68 in (173 cm),Orthodox,31,26,16,4,1,,M,163 ,173,Thailand,Thai,Taurus,light flyweight
815,Kim Yong-Kang,1965-01-03,"Hwaseong, South Korea",Light flyweight/Flyweight/Super flyweight,5 ft 7 in (170 cm),,Orthodox,31,26,11,5,,,M,170 ,,South Korea,South Korean,Capricorn,light flyweight
816,Pongsaklek Wonjongkam,1977-08-11,"Bua Yai District, Nakhon Ratchasima Province",Light-flyweight/Flyweight/Super-bantamweight,5 ft 4 in (163 cm),63+1⁄2 in (161 cm),Southpaw,98,91,47,5,2,,M,163 ,161,Thailand,Thai,Leo,light flyweight
817,Sonny Boy Jaro,1982-03-24,"Silay City, Philippines",Mini flyweight/Light flyweight/Flyweight/Super flyweight,5 ft 2+1⁄2 in (159 cm),65+1⁄2 in (166 cm),Orthodox,66,45,32,16,5,,M,159 ,166,Philippines,Filipino,Aries,light flyweight
818,Toshiyuki Igarashi,1984-01-17,"Koyoshi, Yurihonjō,[1] Japan",Flyweight,5 ft 5+1⁄2 in (166 cm),67+1⁄2 in (171 cm),Southpaw,29,23,12,3,3,,M,166 ,171,Japan,Japanese,Capricorn,flyweight
819,Rosendo Álvarez,1970-05-06,"Managua, Nicaragua",Mini flyweight/Light flyweight/Flyweight,5 ft 5 in (165 cm),65 in (165 cm),Orthodox,43,37,24,4,2,,M,165 ,165,Nicaragua,Nicaraguan,Taurus,light flyweight
820,Hugo Cázares,1978-03-24,"Los Mochis, Sinaloa, Mexico",Light flyweight/Super flyweight,,,Southpaw,51,40,27,9,2,,M,,,Mexico,Mexican,Aries,light flyweight
821,Giovani Segura,1982-04-01,"Ciudad Altamirano, Mexico",Light flyweight/Flyweight,1.60 m (5 ft 3 in),168 cm (66 in),Southpaw,38,33,29,4,1,,M,160 ,167.6,Mexico,Mexican,Aries,light flyweight
822,Kenshiro Teraji,1992-01-06,"Jōyō, Kyoto, Japan",Light-flyweight,5 ft 4+1⁄2 in (164 cm),64 in (163 cm),Orthodox,24,23,14,1,,,M,164 ,163,Japan,Japanese,Capricorn,light flyweight
823,Francesco Damiani,1958-10-04,"Bagnacavallo,Emilia-Romagna, Italy",Heavyweight,1.90 m (6 ft 3 in),,Orthodox,32,30,24,2,,,M,190 ,,Italy,Italian,Libra,heavyweight
824,Ray Mercer,1961-04-04,,Heavyweight,6 ft 1 in (185 cm),77 in (196 cm),Orthodox,,1,,0,1,,M,185 ,196,,,Aries,heavyweight
825,Tommy Morrison,1969-01-02,,,6 ft 2 in (188 cm),76 in (193 cm),,,1,,0,1,,M,188 ,193,,,Capricorn,
826,Michael Bentt,1965-09-04,"London, England",Heavyweight,6 ft 3 in (191 cm),79 in (201 cm),Orthodox,13,11,6,2,,,M,191 ,201,England,British,Virgo,heavyweight
827,Herbie Hide,1971-08-27,"Amauzari, Nigeria",Cruiserweight/Heavyweight,6 ft 2 in (188 cm),75 in (191 cm),Orthodox,53,49,43,4,,,M,188 ,191,Nigeria,Nigerian,Virgo,cruiserweight
828,Henry Akinwande,1965-10-12,"Dulwich, London, England",Heavyweight,6 ft 7 in (201 cm),86 in (218 cm),Orthodox,55,50,30,4,1,,M,201 ,218,England,British,Libra,heavyweight
829,Corrie Sanders,1966-01-07,"Brits, North West,South Africa",Heavyweight,1.93 m (6 ft 4 in),196 cm (77 in),Southpaw,46,42,31,4,,,M,193 ,195.6,South Africa,South African,Capricorn,heavyweight
830,Lamon Brewster,1973-06-05,"Indianapolis, Indiana, U.S.",Heavyweight,6 ft 2 in (188 cm),77 in (196 cm),Orthodox,41,35,30,6,,,M,188 ,196,USA,American,Gemini,heavyweight
831,Siarhei Liakhovich,1976-05-29,"Vitebsk, Byelorussian SSR, Soviet Union (now Belarus)",Heavyweight,1.93 m (6 ft 4 in),189 cm (74 in),Orthodox,36,27,17,9,,,M,193 ,188.0,Belarus,Belarusian,Gemini,heavyweight
832,Shannon Briggs,1971-12-04,"Brooklyn, New York City,New York, U.S.",Heavyweight,6 ft 4 in (193 cm),80 in (203 cm),Orthodox,68,60,53,6,1,1,M,193 ,203,USA,American,Capricorn,heavyweight
833,Sultan Ibragimov,1975-03-08,"Tlyarata, Dagestan ASSR,Russian SFSR, Soviet Union",Heavyweight,1.88 m (6 ft 2 in),193 cm (76 in),Southpaw,24,22,17,1,1,,M,188 ,193.0,Russia,Russian,Pisces,heavyweight
834,Joseph Parker,1992-01-09,"Auckland, New Zealand",Heavyweight,6 ft 4 in (193 cm)[1],193 cm (76 in)[1],Orthodox,37,34,23,3,,,M,193 ,193.0,New Zealand,New Zealander,Capricorn,heavyweight
835,Boone Pultz,1959-11-18,,Cruiserweight,,,Southpaw,28,25,15,3,,,M,,,,,Scorpio,cruiserweight
836,Magne Havnå,1963-09-16,"Risør, Norway",Cruiserweight,,,,22,19,11,3,0,,M,,,Norway,Norwegian,Virgo,cruiserweight
837,Tyrone Booze,1959-02-12,"Hartford, Connecticut, U.S.",Cruiserweight,,,Orthodox,37,22,8,12,2,1,M,,,USA,American,Aquarius,cruiserweight
838,Markus Bott,1962-01-13,"Pforzheim, West Germany",Cruiserweight/Heavyweight,6 ft 0 in (183 cm),,Orthodox,33,28,20,5,,,M,183 ,,Germany,German,Capricorn,cruiserweight
839,Nestor Hipolito Giovannini,1961-02-07,"Rafaela, Argentina",Light heavyweight/Cruiserweight,5 ft 9 in (175 cm),69 in (175 cm),Orthodox,52,38,16,10,4,,M,175 ,175,Argentina,Argentine,Aquarius,light heavyweight
840,Ralf Rocchigiani,1963-02-13,"Duisburg, Germany",Light Heavyweight/Cruiserweight,,,,58,42,17,9,7,0,M,,,Germany,German,Aquarius,light heavyweight
841,Johnny Nelson,1967-01-04,"Sheffield, West Riding of Yorkshire, England",Cruiserweight/Heavyweight,6 ft 2+1⁄2 in (189 cm),81 in (206 cm),Orthodox,59,45,29,12,2,,M,189 ,206,England,British,Capricorn,cruiserweight
842,Enzo Maccarinelli,1980-08-20,"Swansea, Wales",Light-heavyweight/Cruiserweight,6 ft 4 in (193 cm),74 in (188 cm),Orthodox,49,41,33,8,,,M,193 ,188,Wales,British,Leo,light heavyweight
843,Krzysztof Głowacki,1986-07-31,,Cruiserweight,1.83 m (6 ft 0 in),191 cm (75 in),,,1,,0,,,M,183 ,190.5,,,Leo,cruiserweight
844,Lawrence Okolie,1992-12-16,"Hackney, London England",Cruiserweight,6 ft 5 in (196 cm),82+1⁄2 in (210 cm),Orthodox,20,19,14,1,,,M,196 ,210,England,British,Capricorn,cruiserweight
845,Chris Billam-Smith,1990-08-02,"Epsom, England",Cruiserweight,6 ft 3 in (191 cm),75 in (191 cm),Orthodox,20,19,13,1,,,M,191 ,191,England,British,Leo,cruiserweight
846,Julio César González,1976-07-30,"Guerrero Negro,Baja California Sur,Mexico",Light heavyweight/Cruiserweight,,,Orthodox,49,41,25,8,,,M,,,Mexico,Mexican,Leo,light heavyweight
847,Zsolt Erdei,1974-05-31,"Budapest, Hungary",Light-heavyweight/Cruiserweight,1.78 m (5 ft 10 in),183 cm (72 in),Orthodox,35,34,18,1,,,M,178 ,182.9,Hungary,Hungarian,Gemini,light heavyweight
848,Jürgen Brähmer,1978-10-05,"Stralsund, East Germany(now Germany)",Super-middleweight/Light-heavyweight,1.81 m (5 ft 11 in),181 cm (71 in),Southpaw,55,52,38,3,,,M,181 ,180.3,Germany,German,Libra,super middleweight
849,Nathan Cleverly,1987-02-17,"Caerphilly, Wales",Light-heavyweight/Cruiserweight,6 ft 2 in (188 cm),76 in (193 cm),Orthodox,34,30,16,4,,,M,188 ,193,Wales,British,Aquarius,light heavyweight
850,Vyacheslav Shabranskyy,1987-05-01,"Zhytomyr, Ukrainian SSR, Soviet Union",Light-heavyweight/Cruiserweight,6 ft 3+1⁄2 in (192 cm),75 in (191 cm),Orthodox,24,21,17,2,1,,M,192 ,191,Ukraine,Ukrainian,Taurus,light heavyweight
851,Eleider Álvarez,1984-04-08,"Apartadó, Colombia[1]",Light-heavyweight,6 ft 0 in (183 cm),75+1⁄2 in (192 cm),Orthodox,27,25,13,2,,,M,183 ,192,Colombia,Colombian,Aries,light heavyweight
852,Joe Smith Jr.,1989-09-20,"Long Island, New York, U.S.",Light heavyweight,6 ft 0 in (183 cm)[1],76 in (193 cm)[1],Orthodox,33,28,22,5,,,M,183 ,193,USA,American,Virgo,light heavyweight
853,Chris Eubank,1966-08-08,"Dulwich, London, England",Middleweight/Super-middleweight/Cruiserweight,5 ft 10 in (178 cm)[1],73 in (185 cm)[1],Orthodox,52,45,23,5,2,,M,178 ,185,England,British,Leo,middleweight
854,Steve Collins,1964-07-21,"Cabra, Dublin, Ireland",Middleweight/Super-middleweight,6 ft (183 cm),71 in (180 cm),Orthodox,39,36,21,3,,,M,183 ,180,Ireland,Irish,Cancer,middleweight
855,Denis Inkin,1978-01-07,"Novosibirsk, Russian SFSR, Soviet Union",Super middleweight,182 cm (6 ft 0 in),,Orthodox,35,34,24,1,,,M,182 ,,Russia,Russian,Capricorn,super middleweight
856,Károly Balzsay,1979-07-23,"Kecskemét, Bács-Kiskun,Hungary",Super-middleweight,1.83 m (6 ft 0 in),,Southpaw,27,25,18,2,,,M,183 ,,Hungary,Hungarian,Leo,super middleweight
857,Robert Stieglitz,1981-06-20,"Yeysk, Krasnodar Krai, Russian SFSR, Soviet Union",Super-middleweight/Light-heavyweight,1.80 m (5 ft 11 in),,Orthodox,57,50,29,5,2,,M,180 ,,Russia,Russian,Gemini,super middleweight
858,Gilberto Ramírez,1991-06-19,"Mazatlán, Sinaloa, Mexico",Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 3 in (191 cm)[1],75 in (191 cm)[1],Southpaw,46,45,30,1,,,M,191 ,191,Mexico,Mexican,Gemini,middleweight
859,Billy Joe Saunders,1989-08-30,"Welwyn Garden City, Hertfordshire, England",Middleweight/Super-middleweight,5 ft 11 in (180 cm)[1],71 in (180 cm)[1],Southpaw,31,30,14,1,,,M,180 ,180,England,British,Virgo,middleweight
860,Doug DeWitt,1961-08-13,"Youngstown, Ohio, U.S.",Middleweight,5 ft 9 in (175 cm),65+1⁄2 in (166 cm),Orthodox,46,33,19,8,5,,M,175 ,166,USA,American,Leo,middleweight
861,Nigel Benn,1964-01-22,"Ilford, East London, England",Middleweight/Super-middleweight,5 ft 9+1⁄2 in (177 cm)[1],73 in (185 cm)[1],Orthodox,48,42,35,5,1,,M,177 ,185,England,British,Aquarius,middleweight
862,Gerald McClellan,1967-10-23,"Freeport, Illinois, U.S.",Middleweight/Super middleweight,6 ft 1 in (185 cm)[1],77 in (196 cm)[1],Orthodox,34,31,29,3,,,M,185 ,196,USA,American,Scorpio,middleweight
863,Chris Pyatt,1963-07-03,"Islington, England",Light middleweight/Middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,51,46,33,5,,,M,174 ,,England,British,Cancer,middleweight
864,Lonnie Bradley,1968-09-16,"Charleston, South Carolina, U.S.",Middleweight,5 ft 11 in (180 cm),76 in (193 cm),Orthodox,31,29,21,1,1,,M,180 ,193,USA,American,Virgo,middleweight
865,Otis Grant,1967-12-23,"Saint Ann Parish, Jamaica",Middleweight/Super middleweight/Light heavyweight,5 ft 9+1⁄2 in (177 cm),71 in (180 cm),Southpaw,42,38,17,3,1,0,M,177 ,180,Jamaica,Jamaican,Aquarius,middleweight
866,Bert Schenk,1970-11-14,"Berlin, Germany",Middleweight,5 ft 9+1⁄2 in (177 cm),74 in (188 cm),Southpaw,38,36,23,2,0,0,M,177 ,188,Germany,German,Scorpio,middleweight
867,Armand Krajnc,1973-08-07,"Landskrona, Scania,Sweden",Middleweight/Super-middleweight,1.81 m (5 ft 11 in),191 cm (75 in),Orthodox,32,29,21,3,,,M,181 ,190.5,Sweden,Swedish,Leo,middleweight
868,Héctor Velazco,1973-05-20,"Avellaneda, Argentina",Middleweight/Super middleweight,179 cm (5 ft 10 in),,Orthodox,47,37,16,9,1,,M,179 ,,Argentina,Argentine,Taurus,middleweight
869,Dmitry Pirog,1980-06-27,"Temryuk, Russian SFSR, Soviet Union (now Russia)",Middleweight,1.85 m (6 ft 1 in),178 cm (70 in),Orthodox,20,20,15,,,,M,185 ,177.8,Russia,Russian,Cancer,middleweight
870,Hassan N'Dam N'Jikam,1984-02-18,"Buea, Cameroon",Middleweight/Super-middleweight,1.81 m (5 ft 11 in)[1],1.87 m (74 in)[1],Orthodox,44,38,21,6,,,M,181 ,188.0,Cameroon,Cameroonian,Aquarius,middleweight
871,Peter Quillin,1983-06-22,"Chicago, Illinois, U.S.",Middleweight/Super middleweight,5 ft 11 in (180 cm),72+1⁄2 in (184 cm),Orthodox,38,34,23,2,1,1,M,180 ,184,USA,American,Cancer,middleweight
872,Demetrius Andrade,1988-02-26,"Providence, Rhode Island, U.S.",Light middleweight/Middleweight/Super middleweight,6 ft 1 in (185 cm)[1],73+1⁄2 in (187 cm)[1],Southpaw,33,32,19,1,,,M,185 ,187,USA,American,Pisces,middleweight
873,Bronco McKart,1971-03-20,"Monroe, Michigan, U.S.",Welterweight/Light middleweight/Middleweight,6 ft 0 in (1.83 m),72 in (183 cm),Southpaw,68,56,34,11,1,,M,183 ,183,USA,American,Pisces,welterweight
874,Serhiy Dzyndzyruk,1976-03-01,"Nyzhnohirskyi, Ukrainian SSR, Soviet Union",Light middleweight/Middleweight,6 ft 0 in (183 cm),68 in (173 cm),Southpaw,40,37,24,2,1,,M,183 ,173,Ukraine,Ukrainian,Pisces,middleweight
875,Sadam Ali,1988-09-26,"Brooklyn, New York City,New York, U.S.",Welterweight/Light middleweight,5 ft 8 in (173 cm)[1],73 in (185 cm),Orthodox,30,27,14,3,,,M,173 ,185,USA,American,Libra,welterweight
876,Jaime Munguía,1996-10-06,"Tijuana, Baja California, Mexico",Light middleweight/Middleweight/Super middleweight,6 ft 0 in (183 cm),72 in (183 cm),Orthodox,43,43,34,,,,M,183 ,183,Mexico,Mexican,Libra,middleweight
877,Patrick Teixeira,1990-12-05,"Sombrio, Brazil",Light middleweight/Middleweight,5 ft 11+1⁄2 in (182 cm),76+1⁄2 in (194 cm),Southpaw,37,33,24,4,,,M,182 ,194,Brazil,Brazilian,Capricorn,middleweight
878,Brian Castaño,1989-09-12,"Isidro Casanova, Argentina",Light middleweight,5 ft 7.5 in (171 cm),68 in (173 cm),Orthodox,20,17,12,1,2,,M,171 ,173,Argentina,Argentine,Virgo,
879,Tim Tszyu,1994-11-02,"Sydney, Australia",Light-middleweight,5 ft 9 in (175 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,24,24,17,,,,M,175 ,179,Australia,Australian,Scorpio,
880,Manning Galloway,1960-04-27,"Columbus, Ohio",Welterweight,5 ft 9 in (1.75 m),,Southpaw,85,63,14,19,1,2,M,175 ,,USA,American,Taurus,welterweight
881,Gert Bo Jacobsen,1961-12-18,"Østrup, Denmark",Welterweight,5 ft 9 in (175 cm),,Orthodox,49,43,30,5,0,1,M,175 ,,Denmark,Danish,Capricorn,welterweight
882,Eamonn Loughran,1970-06-05,"Ballymena, Northern Ireland",Welterweight/Light-middleweight,5 ft 9 in (175 cm),,,30,26,12,2,1,,M,175 ,,Ireland,Irish,Gemini,welterweight
883,Mihai Leu,1969-02-13,"Hunedoara, Hunedoara County, Romania",Welterweight,5 ft 7+1⁄2 in (171 cm),,Orthodox,28,28,10,0,0,,M,171 ,,Romania,Romanian,Aquarius,welterweight
884,Akhmed Kotiev,1968-01-15,"Vladikavkaz, Russia",Welterweight,5 ft 8 in (173 cm),,Orthodox,30,27,15,2,,1,M,173 ,,Russia,Russian,Capricorn,welterweight
885,Timothy Bradley,1983-08-29,"Palm Springs, California, U.S.",Light welterweight/Welterweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,37,33,13,2,1,1,M,168 ,175,USA,American,Virgo,welterweight
886,Jessie Vargas,1989-05-10,"Los Angeles, California, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 11 in (180 cm)[1],71 in (180 cm)[1],Orthodox,35,29,11,4,2,,M,180 ,180,USA,American,Taurus,welterweight
887,Jeff Horn,1988-02-04,"Brisbane, Queensland, Australia",Welterweight/Light Middleweight/Middleweight,5 ft 9 in (175 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,24,20,13,3,1,,M,175 ,177,Australia,Australian,Aquarius,welterweight
888,Héctor Camacho,1962-05-24,"Bayamón, Puerto Rico",Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight/Middleweight/Super middleweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Southpaw,88,79,38,6,3,,M,170 ,170,Puerto Rico,American(Puerto Rican),Gemini,super featherweight
889,Zack Padilla,1963-03-15,"Azusa, California, U.S.",Light welterweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,24,22,14,1,1,,M,171 ,178,USA,American,Pisces,
890,Giovanni Parisi,,,Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm),,Orthodox,47,41,29,5,1,,M,173 ,,,,Sagittarius,lightweight
891,DeMarcus Corley,1974-06-03,"Washington, D.C., U.S.",Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),70 in (178 cm),Southpaw,87,52,28,34,1,,M,170 ,178,USA,American,Gemini,lightweight
892,Kendall Holt,1981-06-14,"Paterson, New Jersey, U.S.",Light welterweight,5 ft 9 in (175 cm),74 in (188 cm),Orthodox,34,28,16,6,,,M,175 ,188,USA,American,Gemini,
893,Mike Alvarado,1980-07-28,"Denver, Colorado, U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),69+1⁄2 in (177 cm),Orthodox,45,40,28,5,,,M,175 ,177,USA,American,Leo,welterweight
894,Ruslan Provodnikov,1984-01-20,"Beryozovo, Soviet Union",Light welterweight/Welterweight,1.68 m (5 ft 6 in),168 cm (66 in),Orthodox,30,25,18,5,,,M,168 ,167.6,Russia,Russian,Aquarius,welterweight
895,Chris Algieri,1984-03-02,"Huntington, New York, U.S.",Light welterweight/Welterweight,5 ft 10 in (178 cm)[1],72 in (183 cm)[1],Orthodox,29,25,9,4,,,M,178 ,183,USA,American,Pisces,welterweight
896,Maurice Hooker,1989-08-07,"Dallas, Texas, U.S.",Light welterweight/Welterweight,5 ft 11 in (180 cm),80 in (203 cm),Orthodox,33,27,18,3,3,,M,180 ,203,USA,American,Leo,welterweight
897,Mauricio Aceves,1960-12-18,"Mexico City, Mexico",Welterweight/Light welterweight/Lightweight,1.85 m (6 ft 1 in),191 cm (75 in),Southpaw,43,26,20,16,1,,M,185 ,190.5,Mexico,Mexican,Capricorn,lightweight
898,Artur Grigorian,1967-10-20,"Tashkent, Uzbek SSR, Soviet Union[1]",Lightweight,5 ft 7+1⁄2 in (1.71 m),69 in (175 cm),Southpaw,39,38,23,1,0,0,M,171 ,175,Uzbekistan,Uzbek,Libra,lightweight
899,Acelino Freitas,1975-09-21,"Salvador, Bahia, Brazil",Super featherweight/Lightweight/Light middleweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Orthodox,43,41,34,2,,,M,168 ,175,Brazil,Brazilian,Virgo,super featherweight
900,Ricky Burns,1983-04-13,"Coatbridge, Lanarkshire, Scotland",Super-featherweight/Lightweight/Light-welterweight/Welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,54,45,17,8,1,,M,175 ,178,Scotland,British(scottish),Aries,super featherweight
901,Ray Beltrán,1981-07-23,"Los Mochis, Sinaloa, Mexico",Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 8 in (173 cm),71 in (180 cm),Orthodox,49,37,23,10,1,1,M,173 ,180,Mexico,Mexican,Leo,featherweight
902,Kamel Bou Ali,1958-12-06,"Tunis, Tunisia",Super featherweight,5 ft 6 in (168 cm),,Orthodox,43,37,15,6,,,M,168 ,,Tunisia,Tunisian,Capricorn,super featherweight
903,Daniel Londas,1954-05-17,"Fort-de-France, Martinique",Super featherweight/Lightweight,166 cm (5 ft 5 in),,,68,58,25,9,1,,M,166 ,,France,French,Taurus,super featherweight
904,Regilio Tuur,1967-08-12,"Paramaribo, Suriname",Super featherweight/Lightweight,5 ft 7.5 in (1.71 m),,Orthodox,51,46,30,4,1,,M,171 ,,Suriname,Surinamese,Leo,super featherweight
905,Mike Anchondo,1982-04-15,"Los Angeles, California, U.S.",Super featherweight,5 ft 5 in (165 cm),66 in (168 cm),Orthodox,33,30,19,3,,,M,165 ,168,USA,American,Aries,super featherweight
906,Jorge Rodrigo Barrios,1976-08-01,"Tigre, Buenos Aires, Argentina",Super featherweight,5 ft 6 in (168 cm),,Orthodox,60,53,36,5,1,1,M,168 ,,Argentina,Argentine,Leo,super featherweight
907,Joan Guzmán,1976-05-01,"Santo Domingo, Dominican Republic",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,37,34,21,1,1,1,M,170 ,170,Dominican Republic,Dominican,Taurus,super bantamweight
908,Alex Arthur,1978-06-26,"Edinburgh, Scotland",Super featherweight,5 ft 9 in (175 cm),69 in (175 cm),Orthodox,34,31,21,3,,,M,175 ,175,Scotland,British(scottish),Cancer,super featherweight
909,Nicky Cook,1979-09-13,"Stepney, London, England",Featherweight/Super featherweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,33,33,16,3,,,M,169 ,,England,British,Virgo,featherweight
910,Adrien Broner,1989-07-28,"Cincinnati, Ohio, U.S.",Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 6+1⁄2 in (169 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,41,35,24,4,1,1,M,169 ,177,USA,American,Leo,super featherweight
911,Miguel Beltrán Jr.,1989-07-21,"Los Mochis, Sinaloa, Mexico",Featherweight/Super Featherweight/Lightweight,5 ft 7 in (170 cm),65 in (165 cm),Orthodox,43,34,23,8,,1,M,170 ,165,Mexico,Mexican,Cancer,featherweight
912,Masayuki Ito,1991-01-19,"Kōtō, Tokyo, Japan",Super-featherweight/Lightweight,5 ft 8+1⁄2 in (174 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,34,28,15,4,1,,M,174 ,174,Japan,Japanese,Capricorn,super featherweight
913,Jamel Herring,1985-10-30,"Rockville Centre, New York, U.S.",Super-featherweight/Lightweight,5 ft 10 in (178 cm),70 in (178 cm),Southpaw,28,24,12,4,,,M,178 ,178,USA,American,Scorpio,super featherweight
914,Emanuel Navarrete,1995-01-17,"San Juan Zitlaltepec, Estado de Mexico, Mexico",Flyweight/Super bantamweight/Featherweight/Super featherweight,5 ft 7 in (170 cm),72 in (183 cm),Orthodox,40,38,31,1,1,,M,170 ,183,Mexico,Mexican,Capricorn,flyweight
915,Maurizio Stecca,1963-03-09,"Santarcangelo di Romagna, Italy",Featherweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,53,49,22,4,0,0,M,169 ,,Italy,Italian,Pisces,featherweight
916,Louie Espinoza,1962-05-12,"Winkelman, Arizona, US",Super bantamweight/Featherweight,5 ft 8 in (173 cm),,Orthodox,66,52,44,12,2,,M,173 ,,USA,American,Taurus,super bantamweight
917,Colin McMillan,1966-02-12,"London, England",Featherweight,,,,35,31,14,4,,,M,,,England,British,Aquarius,featherweight
918,Pablo Chacón,1975-05-22,"Las Heras, Mendoza, Argentina",Featherweight/Super featherweight,5 ft 4 in (163 cm),,Orthodox,61,54,37,7,,,M,163 ,,Argentina,Argentine,Gemini,featherweight
919,Steven Luevano,1981-03-03,"Los Angeles, California, U.S.",Featherweight/Super Featherweight,5 ft 9 in (175 cm),72 in (183 cm),Southpaw,40,37,15,2,1,,M,175 ,183,USA,American,Pisces,featherweight
920,Orlando Cruz,1981-07-01,"Yabucoa, Puerto Rico",Lightweight,5 ft 4 in (1.63 m),,Southpaw,34,25,13,7,2,,M,163 ,,Puerto Rico,American(Puerto Rican),Cancer,lightweight
921,Óscar Valdez,1990-12-22,"Nogales, Sonora, Mexico",Featherweight/Super featherweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,33,31,23,2,,,M,165 ,168,Mexico,Mexican,Aquarius,featherweight
922,Robeisy Ramírez,1993-12-20,"Cienfuegos, Cuba",Featherweight,5 ft 5 in (165 cm),68 in (173 cm),Southpaw,15,13,8,2,,,M,165 ,173,Cuba,Cuban,Capricorn,featherweight
923,Rafael Espinoza,1994-04-21,"Guadalajara, Jalisco, Mexico",Featherweight,6 ft 1 in (185 cm),74 in (188 cm),Orthodox,24,24,20,,,,M,185 ,188,Mexico,Mexican,Taurus,featherweight
