,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country
956,Isidro Pérez,1964-05-24,"Guerrero, Mexico",Featherweight/Bantamweight/Flyweight/Light flyweight,5 ft 9 in (177 cm),72 in (183 cm),Orthodox,69,57,41,9,3,0,M,177 ,183 ,Mexico
957,Pat Clinton,1964-04-04,"Croy, Lanarkshire, Scotland",Flyweight,5 ft 3 in (160 cm),,,23,20,9,3,0,,M,160 ,,Scotland
958,Jacob Matlala,1962-08-01,"Meadowlands, Gauteng, South Africa",Flyweight/Light flyweight,4 ft 10 in (147 cm)[1],59 in (150 cm),Orthodox,68,53,26,13,2,0,M,147 ,150 ,South Africa
959,Rubén Sánchez León,1973-08-21,"Mexicali, Baja California, Mexico",Lightweight/Featherweight/Bantamweight/Flyweight,5 ft 7 in (168 cm),72 in (183 cm),Orthodox,47,30,13,16,1,0,M,168 ,183 ,Mexico
960,José Antonio López Bueno,1974-08-16,"Zaragoza, Aragon, Spain",Flyweight,5 ft 2+1⁄2 in (159 cm),,Orthodox,45,31,15,10,4,,M,159 ,,Spain
961,Julio César Miranda,1980-05-19,"Veracruz, Mexico",Flyweight/Bantamweight,5 ft 3 in (160 cm),64+1⁄2 in (164 cm),Orthodox,58,42,32,14,2,,M,160 ,164 ,Mexico
962,Zou Shiming,1981-05-18,"Zunyi, China",Flyweight,5 ft 4+1⁄2 in (164 cm),64+1⁄2 in (164 cm),,11,9,2,2,,,M,164 ,164 ,China
963,Sho Kimura,1988-11-24,"Kumagaya, Saitama, Japan",Flyweight,5 ft 5 in (165 cm),66+1⁄2 in (169 cm),Orthodox,26,19,12,3,4,,M,165 ,169 ,Japan
964,Josué Camacho,1969-01-31,"Guaynabo, Puerto Rico",Light flyweight/Flyweight,5 ft 4 in (163 cm),,,25,16,6,9,0,0,M,163 ,,Puerto Rico
965,Paul Weir,1967-09-16,"Glasgow, Scotland",Mini-flyweight/Light-flyweight/Flyweight,5 ft 3 in (160 cm),,,20,14,4,6,,,M,160 ,,Scotland
966,Jesús Chong,1965-01-07,"Gómez Palacio, Durango, Mexico",Light flyweight,1.60 m (5 ft 3 in),168 cm (66 in),Orthodox,48,32,28,16,0,0,M,160 ,66 in,Mexico
967,Juan Domingo Córdoba,1972-08-06,"Santiago del Estero, Argentina",Light flyweight,,,Orthodox,43,34,19,6,3,,M,,,Argentina
968,Nelson Dieppa,1971-02-25,"Vieques, Puerto Rico",Light flyweight,5 ft 4 in (163 cm),66 in (168 cm),Orthodox,33,25,14,5,2,1,M,163 ,168 ,Puerto Rico
969,Jesús Géles,1988-02-22,"Cartagena, Colombia",Light flyweight/Flyweight,,,Orthodox,20,15,6,4,1,,M,,,Colombia
970,Ramón García Hirales,1982-09-10,"La Paz, Baja California Sur, Mexico",Light flyweight,5 ft 8 in (174 cm),70 in (180 cm),Orthodox,30,20,12,9,1,,M,174 ,180 ,Mexico
971,Ángel Acosta,1990-10-08,"San Juan, Puerto Rico",Light flyweight/Flyweight/Super Flyweight,5 ft 4 in (163 cm),64 in (163 cm),Orthodox,28,24,22,4,,,M,163 ,163 ,Puerto Rico
972,Elwin Soto,1996-12-23,"San Felipe, Mexico",Light flyweight/Flyweight,5 ft 3 in (160 cm),,Orthodox,23,20,13,3,,,M,160 ,,Mexico
973,Rafael Torres,1966-04-17,"Santiago de los Caballeros,Dominican Republic",Mini flyweight/Light flyweight,,,Southpaw,25,16,3,9,,,M,,,Dominican Republic
974,Eric Jamili,1977-05-20,"Silay, Negros Occidental, Philippines",Minimumweight/Light Flyweight,5 ft 6 in (1.68 m),,Southpaw,28,15,8,11,2,,M,168 ,,Philippines
975,Kermin Guardia,1970-01-17,"Turbo, Colombia",Mini flyweight/Light flyweight,5 ft 5 in (165 cm),69 in (175 cm),Southpaw,50,37,20,12,,1,M,165 ,175 ,Colombia
976,Jorge Mata,1970-04-26,"León, Castile and León, Spain",Mini flyweight,4 ft 11 in (150 cm),,Orthodox,14,11,6,1,2,,M,150 ,,Spain
977,Eduardo Ray Márquez,1976-02-05,"Managua, Nicaragua",Mini flyweight/Light flyweight,5 ft 3+1⁄2 in (161 cm),66 in (168 cm),Orthodox,30,18,13,9,1,2,M,161 ,168 ,Nicaragua
978,Moisés Fuentes,1985-09-20,"Mexico City, Mexico",Minimumweight/Junior flyweight/Flyweight/Super flyweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Orthodox,33,25,14,7,1,,M,169 ,173 ,Mexico
979,Merlito Sabillo,1984-01-19,"Toboso, Negros Occidental, Philippines",Minimumweight/Light flyweight,5 ft 3 in (1.60 m),,Southpaw,36,27,13,8,1,,M,160 ,,Philippines
980,Riku Kano,1997-11-16,"Kawanishi, Hyōgo, Japan",Mini-flyweight/Light-flyweight/Flyweight,5 ft 4 in (163 cm),65+1⁄2 in (166 cm),Southpaw,28,22,11,4,2,,M,163 ,166 ,Japan
981,Tatsuya Fukuhara,1989-05-08,"Kumamoto, Japan",Mini-flyweight,5 ft 4+1⁄2 in (164 cm),63 in (160 cm),Southpaw,34,21,7,7,6,,M,164 ,160 ,Japan
982,Ryuya Yamanaka,1995-04-11,"Mihara, Osaka, Japan",Mini-flyweight/Light-flyweight/Flyweight,5 ft 4 in (163 cm),66+1⁄2 in (169 cm),Orthodox,22,19,6,4,,,M,163 ,169 ,Japan
983,Vic Saludar,1990-11-03,"Polomolok, Philippines",Mini-flyweight,5 ft 3 in (160 cm),65+1⁄2 in (166 cm),Orthodox,29,23,13,6,,,M,160 ,166 ,Philippines
984,Wilfredo Méndez,1996-11-10,"Caguas, Puerto Rico",Mini flyweight,5 ft 4+1⁄2 in (164 cm),64 in (163 cm),Southpaw,21,18,6,3,1,,M,164 ,163 ,Puerto Rico
985,Masataka Taniguchi,1994-01-19,"Kobe, Japan",Mini-flyweight/Light-flyweight,5 ft 4 in (163 cm),64+1⁄2 in (164 cm),Southpaw,21,17,11,4,,,M,163 ,164 ,Japan
986,Melvin Jerusalem,1994-02-22,"Manolo Fortich, Bukidnon, Philippines",Mini-flyweight,5 ft 2 in (157 cm),62 in (157 cm),Orthodox,24,21,12,3,,,M,157 ,157 ,Philippines
987,Ken Norton,1943-08-09,"Jacksonville, Illinois, U.S.",Heavyweight,6 ft 3 in (191 cm),80 in (203 cm),,50,42,33,7,1,,M,191 ,203 ,USA
988,Tim Witherspoon,1957-12-27,"Philadelphia, Pennsylvania, U.S.",Heavyweight,6 ft 3+1⁄2 in (192 cm),78 in (198 cm),Orthodox,69,55,38,13,1,,M,192 ,198 ,USA
989,Trevor Berbick,1954-08-01,"Norwich, Port Antonio, Jamaica",Heavyweight,6 ft 2 in (188 cm),78 in (198 cm),Orthodox,61,49,29,11,1,,M,188 ,198 ,Jamaica
990,Oliver McCall,1965-04-21,"Chicago, Illinois, U.S.",Heavyweight,6 ft 2 in (188 cm),82 in (208 cm),Orthodox,75,59,38,14,,2,M,188 ,208 ,USA
991,Frank Bruno,1961-11-16,"Hammersmith, London, England",Heavyweight,6 ft 3 in (191 cm)[1],82 in (208 cm)[1],Orthodox,45,40,38,5,,,M,191 ,208 ,England
992,Oleg Maskaev,1969-03-02,"Abay, Kazakh SSR,Soviet Union(now Kazakhstan)",Heavyweight,1.91 m (6 ft 3 in),201 cm (79 in),Orthodox,46,39,28,7,,,M,191 ,79 in,Kazakhstan
993,Samuel Peter,1980-09-06,"Akwa Ibom, Nigeria",Heavyweight,1.88 m (6 ft 2 in),196 cm (77 in),Orthodox,47,38,31,9,,,M,188 ,77 in,Nigeria
994,Bermane Stiverne,1978-11-01,"Plaine-du-Nord, Haiti",Heavyweight,6 ft 2 in (188 cm)[1],77 in (196 cm)[1],Orthodox,32,25,21,6,1,,M,188 ,196 ,Haiti
995,S. T. Gordon,1959-04-18,"Pasco, Washington, USA",Cruiserweight,6 ft 0 in (183 cm),"78""",,27,20,17,7,,,M,183 ,"78""",USA
996,Alfonso Ratliff,1956-02-18,"Clarksdale, Mississippi, U.S.",Cruiserweight,6 ft 4 in (193 cm),78 in (198 cm),Orthodox,34,25,18,9,,,M,193 ,198 ,USA
997,Sammy Reeson,1963-01-05,,Light heavyweight/cruiserweight,6 ft 1.5 in (1.867 m),,,26,24,5,2,0,,M,1867 ,,unknown
998,Massimiliano Duran,1963-11-03,"Ferrara, Emilia Romagna, Italy",Cruiserweight,6 ft 1+1⁄2 in (187 cm),,Orthodox,25,19,8,6,,,M,187 ,,Italy
999,Anaclet Wamba,1960-01-06,"Liranga, French Equatorial Africa",Cruiserweight/Light Heavyweight,190 cm (6 ft 3 in),201 cm (79 in),,49,46,23,2,1,,M,190 ,79 in,Congo
1000,Marcelo Domínguez,1970-01-15,"Ituzaingó, Buenos Aires",Heavyweight,,,,57,48,25,8,1,0,M,,,Argentina
1001,Juan Carlos Gómez,1973-07-26,"Havana, Cuba",Cruiserweight/Heavyweight,6 ft 3+1⁄2 in (192 cm),80+1⁄2 in (204 cm),Southpaw,60,55,39,4,,1,M,192 ,204 ,Cuba
1002,Wayne Braithwaite,1975-08-09,"Georgetown, Guyana",Light heavyweight/Cruiserweight/Heavyweight,6 ft 0 in (183 cm),,Southpaw,30,24,20,6,,,M,183 ,,Guyana
1003,Giacobbe Fragomeni,1969-08-13,"Milan, Lombardy, Italy",Cruiserweight,1.77 m (5 ft 10 in),,Orthodox,42,35,14,5,2,,M,177 ,,Italy
1004,Grigory Drozd,1979-08-26,"Prokopyevsk, Russian SFSR, Soviet Union (now Russia)",Cruiserweight,6 ft 1 in (185 cm),76 in (193 cm),Orthodox,41,40,28,1,,,M,185 ,193 ,Russia
1005,Tony Bellew,1982-11-30,"Liverpool, England",Light-heavyweight/Cruiserweight/Heavyweight,6 ft 3 in (191 cm)[1],74 in (188 cm)[1],Orthodox,34,30,20,3,1,,M,191 ,188 ,England
1006,Ilunga Makabu,1987-11-08,"Kananga, Zaire",Light-heavyweight/Cruiserweight,1.83 m (6 ft 0 in),188 cm (74 in),Southpaw,33,29,25,4,,,M,183 ,74 in,Congo
1007,Badou Jack,1983-10-31,"Stockholm, Sweden",Super-middleweight/Light-heavyweight/Cruiserweight,6 ft 1 in (185 cm),73 in (185 cm),,34,28,17,3,3,,M,185 ,185 ,Sweden
1008,John Conteh,1951-05-27,"Toxteth, Liverpool,Lancashire, England",Light-heavyweight/Cruiserweight/Heavyweight,6 ft 0 in (183 cm),76 in (193 cm),Orthodox,39,34,24,4,1,,M,183 ,193 ,England
1009,Miguel Ángel Cuello,1946-02-27,"Santa Fe, Argentina",Light heavyweight,5 ft 9 in (175 cm),,Orthodox,22,21,20,1,,,M,175 ,,Argentina
1010,Mate Parlov,1948-11-16,"Split, PR Croatia, FPR Yugoslavia",light heavyweight/cruiserweight,1.86 m (6 ft 1 in),,,29,24,12,3,2,0,M,186 ,,Croatia
1011,J. B. Williamson,1956-12-18,"Indianapolis, Indiana, U.S.",Middleweight/Light heavyweight/Heavyweight,6 ft 1+1⁄2 in (187 cm),78 in (198 cm),Orthodox,43,26,10,16,0,1,M,187 ,198 ,USA
1012,Dennis Andries,1953-11-05,"Georgetown, Guyana",Light heavyweight/Cruiserweight,5 ft 10+1⁄2 in (179 cm),72+1⁄2 in (184 cm),Orthodox,65,49,30,14,2,,M,179 ,184 ,Guyana
1013,Donny Lalonde,1960-03-12,"Kitchener, Ontario, Canada",Light Heavyweight/Cruiserweight,,,Orthodox,47,41,33,5,1,0,M,,,Canada
1014,Tony Willis,1960-06-17,"Liverpool, England",Lightweight,,,,29,25,16,4,0,0,M,,,England
1015,Mike McCallum,1956-12-07,"Kingston, Jamaica",Light middleweight/Middleweight/Light heavyweight/Cruiserweight,5 ft 11+1⁄2 in (182 cm)[1],78 in (198 cm)[1],Orthodox,55,49,36,5,1,,M,182 ,198 ,Jamaica
1016,Fabrice Tiozzo,1969-05-08,"Saint-Denis, France",Light heavyweight/Cruiserweight,6 ft 0+1⁄2 in (184 cm),72 in (183 cm),Orthodox,50,48,32,2,,,M,184 ,183 ,France
1017,Montell Griffin,1970-06-06,"Chicago, Illinois, U.S.",Light heavyweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,59,50,30,8,1,,M,170 ,178 ,USA
1018,Adrian Diaconu,1978-06-09,"Ploieşti, Romania",Light-heavyweight,1.75 m (5 ft 9 in),183 cm (72 in),Orthodox,30,27,15,3,,,M,175 ,72 in,Romania
1019,Oleksandr Gvozdyk,1987-04-15,"Kharkiv, Ukrainian SSR,Soviet Union",Light-heavyweight/Cruiserweight,1.88 m (6 ft 2 in)[1],192 cm (75.5 in),Orthodox,21,20,16,1,,,M,188 ,75.5 in,Ukraine
1020,Thulani Malinga,1955-12-11,"Ladysmith, South Africa",Middleweight/Super-middleweight/Light-heavyweight,5 ft 9+1⁄2 in (177 cm),,Orthodox,57,44,19,13,,,M,177 ,,South Africa
1021,Vincenzo Nardiello,1966-06-11,"Stuttgart, West Germany",Super middleweight,5 ft 10+1⁄2 in (179 cm),73 in (185 cm),Southpaw,41,34,19,7,,,M,179 ,185 ,Germany
1022,Richie Woodhall,1968-04-17,"Birmingham, England",Middleweight/Super-middleweight,,,Orthodox,29,26,16,3,,,M,,,England
1023,Markus Beyer,1971-04-28,"Erlabrunn, East Germany",Super middleweight,5 ft 9+1⁄2 in (177 cm),71 in (180 cm),Southpaw,39,35,13,3,1,,M,177 ,180 ,Germany
1024,Glenn Catley,1972-03-15,"Frampton Cotterell, England [1]",[1],5 ft 8+1⁄2 in (174 cm)[1],70 in (178 cm)[1],[1],,29,22,7,0,,M,174 ,178 ,England
1025,Dave Hilton Jr.,1963-12-09,"Port Credit, Ontario, Canada",Super middleweight,5 ft 8 in (1.73 m),,Orthodox,45,41,26,2,2,,M,173 ,,Canada
1026,Éric Lucas,1971-05-29,"Montreal, Quebec, Canada",Super middleweight/Light heavyweight/Cruiserweight,6 ft 0 in (183 cm),74 in (188 cm),orthodox,50,39,15,8,3,0,M,183 ,188 ,Canada
1027,Cristian Sanavia,1975-02-27,"Piove di Sacco, Italy",Middleweight/Super middleweight,5 ft 7+1⁄2 in (171 cm),,Southpaw,56,49,15,6,1,,M,171 ,,Italy
1028,Mikkel Kessler,1979-03-01,"Copenhagen, Denmark",Super-middleweight/Light-heavyweight,1.85 m (6 ft 1 in),188 cm (74 in),Orthodox,49,46,35,3,,,M,185 ,74 in,Denmark
1029,Anthony Dirrell,1984-10-14,"Flint, Michigan, U.S.",Super middleweight,6 ft 1+1⁄2 in (187 cm)[1],74+1⁄2 in (189 cm)[1],Orthodox,39,34,25,3,2,,M,187 ,189 ,USA
1030,David Benavidez,1996-12-17,"Phoenix, Arizona, U.S.",Super middleweight/Light heavyweight,188 cm (6 ft 2 in) [1],74+1⁄2 in (189 cm)[2],Orthodox,28,28,24,,,,M,188 ,189 ,USA
1031,Avni Yildirim,1991-08-05,"Sivas, Turkey",Middleweight/Super-middleweight/Light-heavyweight,5 ft 11+1⁄2 in (182 cm),70 in (178 cm),Orthodox stance,29,24,13,5,,,M,182 ,178 ,Turkey
1032,Rodrigo Valdéz,1946-02-22,"Cartagena, Colombia",Middleweight,5 ft 8 in (173 cm),70 in (178 cm),Orthodox,73,63,43,8,2,,M,173 ,178 ,Colombia
1033,Bennie Briscoe,1943-02-08,"Augusta, Georgia, United States",Super Middleweight/Middleweight/Super Welterweight/Welterweight,5 ft 8 in (1.73 m),,Orthodox,96,66,53,24,5,1,M,173 ,,USA
1034,Quincy Taylor,1963-07-18,"Dallas, Texas, U.S.",Middleweight,5 ft 9+1⁄2 in (177 cm),73 in (185 cm),Southpaw,32,28,24,4,,,M,177 ,185 ,USA
1035,Hacine Cherifi,1967-12-12,"Lyon, France",Middleweight,5 ft 11 in (180 cm),,Orthodox,49,36,20,12,1,,M,180 ,,France
1036,Sebastian Zbik,1982-03-17,"Neubrandenburg, East Germany(nowadays Germany)",Middleweight/Super middleweight,5 ft 11+1⁄2 in (182 cm),72 in (183 cm),Orthodox,32,30,10,2,,,M,182 ,183 ,Germany
1037,Julio César Chávez Jr.,1986-02-16,"Culiacán, Sinaloa, Mexico",Super Featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight/Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 0 in (183 cm)[1],73 in (185 cm),Orthodox,61,53,34,6,1,1,M,183 ,185 ,Mexico
1038,Denny Moyer,1939-08-08,"Portland, Oregon, USA",Light middleweight,5 ft 8.5 in (1.74 m),,Orthodox,141,98,25,38,4,1,M,174 ,,USA
1039,Ralph Dupas,,,Lightweight/Welterweight/Junior middleweight,,,Orthodox,135,106,19,23,6,,M,,,unknown
1040,Sandro Mazzinghi,1938-10-03,"Pontedera, Italy",,,,,69,64,42,3,0,2,M,,,Italy
1041,Kim Ki-Soo,1939-09-17,"Hokusei, Chōsen(nowadays Pukchong, North Korea)",Light-middleweight/Middleweight,5 ft 7 in (170 cm),69+1⁄2 in (177 cm),Southpaw,37,33,17,2,2,,M,170 ,177 ,South Korea
1042,Freddie Little,1936-04-25,"Picayune, Mississippi, U.S.",Light middleweight,5 ft 7 in (170 cm),,,58,51,31,6,,1,M,170 ,,USA
1043,Carmelo Bossi,1939-10-15,"Milan, Italy",Welterweight/Light middleweight,5 ft 7 in (170 cm),,Orthodox,51,40,10,8,3,,M,170 ,,Italy
1044,Miguel de Oliveira,1947-09-30,"São Manuel, São Paulo, Brazil",Light middleweight,5 ft 8+1⁄2 in (174 cm),70+1⁄2 in (179 cm),Orthodox,51,45,27,5,1,,M,174 ,179 ,Brazil
1045,Elisha Obed,1952-02-21,"Nassau, Bahamas",Light middleweight,5 ft 11 in (180 cm),72 in (183 cm),Orthodox,120,91,60,22,4,3,M,180 ,183 ,Bahamas
1046,Eckhard Dagge,1948-02-27,"Probsteierhagen, West Germany",Light middleweight/Middleweight,5 ft 11 in (180 cm),,Orthodox,32,26,16,5,1,,M,180 ,,Germany
1047,Rocky Mattioli,1953-09-20,"Ripa Teatina, Abruzzo, Italy",Light middleweight,5 ft 6+1⁄2 in (169 cm),67 in (170 cm),Orthodox,73,64,51,7,2,,M,169 ,170 ,Italy
1048,Maurice Hope,1951-12-06,"St. John's, Antigua and Barbuda",Light middleweight/Middleweight,5 ft 8+1⁄2 in (174 cm),69 in (175 cm),Southpaw,35,30,24,4,1,unknown,M,174 ,175 ,England
1049,Lupe Aquino,1963-01-23,"Chihuahua, Chihuahua, Mexico",Welterweight/Light middleweight/Middleweight,5 ft 7 in (1.70 m),,,64,53,36,9,2,,M,170 ,,Mexico
1050,John Mugabi,1960-03-04,"Kampala, Uganda",Light-middleweight/Middleweight/Super-middleweight/Light-heavyweight,1.74 m (5 ft 9 in),188 cm (74 in),Orthodox,50,42,39,7,1,,M,174 ,74 in,Uganda
1051,Keith Mullings,1968-01-08,"Manchester Parish, Jamaica",Light middleweight,5 ft 9+1⁄2 in (177 cm),74+1⁄2 in (189 cm),Orthodox,25,16,11,8,1,,M,177 ,189 ,Jamaica
1052,Javier Castillejo,1968-03-22,"Parla, Madrid, Spain",Welterweight/Light-middleweight/Middleweight,5 ft 11 in (180 cm)[1],70 in (178 cm)[1],Orthodox,72,62,43,8,1,1,M,180 ,178 ,Spain
1053,Sergio Mora,1980-12-04,"East Los Angeles, California, U.S.",Super middleweight/Middleweight/Light middleweight/Welterweight,6 ft 0 in (1.83 m),75 in (191 cm),Orthodox,36,29,9,5,2,,M,183 ,191 ,USA
1054,Tony Harrison,1937-04-30,,,,,,,,,,,,M,,,unknown
1055,John H. Stracey,1950-09-22,"Barking, England",Welterweight,5 ft 7+1⁄2 in (171 cm)[1],70 in (178 cm)[1],Orthodox,51,45,37,5,1,,M,171 ,178 ,England
1056,Milton McCrory,1962-02-07,"Detroit, Michigan, U.S.",Welterweight/Light middleweight,6 ft 0 in (183 cm),75 in (191 cm),Orthodox,40,35,25,4,1,,M,183 ,191 ,USA
1057,Victor Ortiz,1987-01-31,"Garden City, Kansas, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 9 in (175 cm),70 in (178 cm),Southpaw,43,33,25,7,3,,M,175 ,178 ,USA
1058,Keith Thurman,1988-11-23,"Clearwater, Florida, U.S.",Welterweight/Light middleweight,5 ft 7+1⁄2 in (171 cm)[1],69 in (175 cm)[1],Orthodox,32,30,22,1,,1,M,171 ,175 ,USA
1059,Carlos Morocho Hernández,1939-04-22,"Caracas, Venezuela",Super lightweight,5 ft 6 in / 167cm,,orthodox,76,60,44,12,4,,M,5 ft 6 in / 167,,Venezuela
1060,Pedro Adigue,1943-11-16,"Palanas, Commonwealth of the Philippines",Lightweight/Light welterweight,5 ft 6 in (168 cm),69+1⁄2 in (177 cm),Orthodox,65,37,15,21,7,,M,168 ,177 ,Philippines
1061,Perico Fernandez,1952-10-19,"Zaragoza, Spain",Lightweight/Light welterweight/Welterweight,1.69 m (5 ft 7 in),,Orthodox,127,82,47,28,15,2,M,169 ,,Spain
1062,Saensak Muangsurin,1950-08-13,"Tambon Ban Sadiang, Amphoe Mueang Phetchabun, Phetchabun province, Thailand",Light welterweight,5 ft 7 in (170 cm),,Southpaw,20,14,11,6,0,0,M,170 ,,Thailand
1063,Miguel Velasquez,1944-12-27,"Santa Cruz de Tenerife, Canary Islands, Spain",Lightweight/Light welterweight,5 ft 7 in (170 cm),,Orthodox,73,66,33,4,3,,M,170 ,,Spain
1064,Saoul Mamby,1947-06-04,"Bronx, New York, U.S",Light welterweight/Welterweight,5 ft 8 in (173 cm),70 in (178 cm),,85,45,18,34,6,,M,173 ,178 ,USA
1065,Leroy Haley,1952-12-27,"Garland County, Arkansas, U.S.",Light welterweight,5 ft 4+1⁄2 in (164 cm),69 in (175 cm),Orthodox,57,48,15,6,2,1,M,164 ,175 ,USA
1066,Bruce Curry,1956-03-29,"Marlin, Texas, U.S.",Light welterweight,5 ft 9+1⁄2 in (177 cm),67 in (170 cm),Orthodox,41,33,17,8,,,M,177 ,170 ,USA
1067,René Arredondo,1961-06-15,"Apatzingan, Mexico",Welterweight/Light welterweight,,,,58,46,40,12,0,,M,,,Mexico
1068,Tsuyoshi Hamada,1960-11-29,"Nakagasuku, USCAR[3] (nowadays Nakagasuku, Okinawa, Japan)",junior welterweight,5 ft 7 in (1.70 m),,southpaw,24,21,19,2,,1,M,170 ,,Japan
1069,Frankie Randall,1961-09-25,"Birmingham, Alabama, U.S.",Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 9 in (175 cm)[1],68 in (173 cm)[1],Orthodox,77,58,42,18,1,,M,175 ,173 ,USA
1070,Junior Witter,1974-03-10,"Bradford, West Yorkshire, England",Light welterweight/Welterweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,53,43,23,8,2,,M,170 ,170 ,England
1071,Érik Morales,1976-09-01,"Tijuana, Baja California, Mexico",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,61,52,36,9,,,M,173 ,183 ,Mexico
1072,Viktor Postol,1984-01-16,"Velyka Dymerka, Ukrainian SSR, Soviet Union",Light-welterweight,1.80 m (5 ft 11 in),187 cm (74 in),Orthodox,36,31,12,5,,,M,180 ,74 in,Ukraine
1073,Regis Prograis,1989-01-24,"New Orleans, Louisiana, U.S.",Light welterweight,5 ft 8 in (173 cm),67 in (170 cm),Southpaw,31,29,24,2,,,M,173 ,170 ,USA
1074,Pedro Carrasco,1943-07-11,"Alosno, Spain",Lightweight/Light welterweight,5 ft 9 in (175 cm),,Orthodox,110,105,67,3,2,,M,175 ,,Spain
1075,Chango Carmona,1944-09-29,Mexico City,Lightweight,5 ft 8 in (1.73 m),,Southpaw,67,52,42,13,2,,M,173 ,,Mexico
1076,Guts Ishimatsu,1949-06-05,"Awano, Tochigi Prefecture, Japan[1](now in Kanuma)",Lightweight/[1],171 cm (5 ft 7 in)[1],172 cm (68 in)[1],Orthodox,51,31,17,14,6,0,M,171 ,68 in,Japan
1077,Esteban de Jesús,1950-08-02,"Carolina, Puerto Rico",Lightweight/Light welterweight,5 ft 4+1⁄2 in (164 cm),67 in (170 cm),Orthodox,62,57,32,5,,,M,164 ,170 ,Puerto Rico
1078,Edwin Rosario,1963-03-15,"Toa Baja, Puerto Rico",Lightweight/Super lightweight/Welterweight,5 ft 6 in (168 cm),66+1⁄2 in (169 cm),Orthodox,53,47,41,6,,,M,168 ,169 ,Puerto Rico
1079,José Luis Ramírez,1958-12-03,"Huatabampo, Sonora, Mexico",Lightweight,5 ft 7 in (170 cm),,Southpaw,111,102,82,9,,,M,170 ,,Mexico
1080,Jean Baptiste Mendy,1963-03-16,"Dakar, Senegal",Lightweight,5 ft 9+1⁄2 in (177 cm),,Southpaw,67,55,31,8,3,1,M,177 ,,Senegal
1081,César Bazán,1974-12-13,"Mexico City, Mexico",Welterweight/Light welterweight/Lightweight,6 ft (183 cm),75 in (191 cm),Orthodox,61,49,32,11,1,,M,183 ,191 ,Mexico
1082,Juan Lazcano,1975-03-23,"Ciudad Juárez, Chihuahua, Mexico",Light welterweight/Lightweight,5 ft 9 in (175 cm),72 in (183 cm),Orthodox,43,37,27,5,1,,M,175 ,183 ,Mexico
1083,Edwin Valero,1981-12-03,"Bolero Alto, Mérida,Venezuela",Super featherweight/Lightweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Southpaw,27,27,27,,,,M,168 ,175 ,Venezuela
1084,Humberto Soto,1980-05-11,"Los Mochis, Sinaloa, Mexico",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7+1⁄2 in (171 cm)[1],69 in (175 cm)[1],Orthodox,82,69,37,10,2,1,M,171 ,175 ,Mexico
1085,Antonio DeMarco,1986-01-07,"Los Mochis, Sinaloa, Mexico",Lightweight/Light welterweight,5 ft 10 in (178 cm),71 in (180 cm),Southpaw,43,33,24,9,1,,M,178 ,180 ,Mexico
1086,Omar Figueroa Jr.,1989-12-13,"Weslaco, Texas, U.S.",Lightweight/Light welterweight/Welterweight,5 ft 7+1⁄2 in (171 cm)[1],73 in (185 cm)[1],Orthodox,32,28,19,3,1,,M,171 ,185 ,USA
1087,Dejan Zlatičanin,1984-04-23,"Titograd, SR Montenegro, SFR Yugoslavia",Lightweight,1.63 m (5 ft 4 in),165 cm (65 in),Southpaw,28,24,16,4,,,M,163 ,65 in,Montenegro
1088,Gabriel Elorde,1935-03-25,"Bogo, Cebu, Philippines",Bantamweight/Featherweight/Super featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),68 in (173 cm),Southpaw,118,89,33,27,2,0,M,166 ,173 ,Philippines
1089,Rene Barrientos,1919-05-30,,,,,,,,,,,,M,,,unknown
1090,Ricardo Arredondo,1949-05-26,"Apatzingán, Michoacán, Mexico",Super featherweight,5 ft 7 in (170 cm),69+1⁄2 in (177 cm),Orthodox,100,77,58,22,1,,M,170 ,177 ,Mexico
1091,Alfredo Escalera,1952-03-21,"Carolina, Puerto Rico",Super Featherweight,,,,70,53,31,14,3,,M,,,Puerto Rico
1092,Rafael Limón,1954-01-13,"Tlaxco, Tlaxcala, Mexico[1]",Super featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),66 in (168 cm),Southpaw,77,52,39,23,2,,M,166 ,168 ,Mexico
1093,Cornelius Boza-Edwards,1956-05-27,"Kampala, Uganda",Super featherweight/Lightweight,5 ft 8+1⁄2 in (174 cm),71 in (180 cm),Southpaw,53,45,34,7,1,,M,174 ,180 ,Uganda
1094,Rolando Navarrete,1957-02-14,"General Santos, Philippines",Bantamweight/Featherweight/Super-featherweight/Lightweight,5 ft 5 in (165 cm),65+1⁄2 in (166 cm),Southpaw,74,56,33,15,3,,M,165 ,166 ,Philippines
