,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
1021,Samuel Serrano,1952-11-17,"Toa Alta, Puerto Rico",Featherweight/Super featherweight,5 ft 8+1⁄2 in (174 cm),71 in (180 cm),Orthodox,57,50,17,6,1,
1022,Yasutsune Uehara,1949-10-12,"Naha, Okinawa, USCAR(nowadays Japan)",Super featherweight,5 ft 5 in (165 cm),68 in (173 cm),Orthodox,32,27,21,5,,
1023,Wilfredo Gómez,1956-10-29,"Hato Rey, Puerto Rico",Super bantamweight/Featherweight/Super featherweight,5 ft 5+1⁄2 in (166 cm),66+1⁄2 in (169 cm),Orthodox,48,44,42,3,1,
1024,Alfredo Layne,1959-10-09,"Panama City, Panama
Estado civil Casado Nidia de Layne",Super featherweight,,,,28,15,12,12,,1
1025,Shakur Stevenson,1997-06-28,"Newark, New Jersey, U.S.",Featherweight/Super featherweight/Lightweight,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,21,21,10,,,
1026,Louis Kid Kaplan,,,,,,,,,,,,
1027,André Routis,1900-07-16,"Bordeaux, France",Bantamweight/Featherweight,5 ft 4 in (1.63 m),,,88,56,13,24,7,1
1028,Christopher Battalino,,,Featherweight,5 ft 5+1⁄2 in (1.66 m),65 in (165 cm),Orthodox,88,57,23,26,3,2
1029,Freddie Miller,,,,,,,,,,,,
1030,Petey Sarron,1906-11-21,"Birmingham, Alabama",Featherweight,5 ft 3 in (1.60 m),63 in (160 cm),Orthodox,156;[1] with the inclusion of newspaper decisions,119,21,24,13,
1031,Joey Archibald,1914-02-20,"Providence, Rhode Island",Featherweight,5 ft 2.5 in (1.59 m),,Orthodox,107,60,29,42,5,
1032,Harry Jeffra,,,Bantamweight/Featherweight,5 ft 5 in (1.65 m),,,122,94,27,20,7,1
1033,Chalky Wright,1912-02-01,"Willcox, Arizona, U.S.",Featherweight,,,Orthodox,238,171,83,44,19,2
1034,Willie Pep,1922-09-19,"Middletown, Connecticut, United States",Featherweight,5 ft 5 in (165 cm),68 in (173 cm),Orthodox,241,229,65,11,1,
1035,Sandy Saddler,1926-06-23,"Boston, Massachusetts, U.S.",Featherweight/Super featherweight,5 ft 8+1⁄2 in (174 cm),70 in (178 cm),Orthodox,162,145,104,16,2,
1036,Hogan Bassey,1932-04-27,"Cross River, Creek Town, Calabar, Nigeria",,,,,,,,,,
1037,Davey Moore,,,,,,,,,,,,
1038,Sugar Ramos,1941-12-02,"Matanzas, Cuba",Featherweight,164 cm (5 ft 5 in),164 cm (65 in),Orthodox,66,55,40,7,4,
1039,Vicente Saldívar,1943-03-05,"Mexico City, Mexico[2]",Featherweight/Super featherweight/Lightweight,5 ft 6 in (168 cm),67 in (170 cm),Southpaw,40,37,26,3,,
1040,Johnny Famechon,1945-03-28,"Paris, France",Featherweight,5 ft 5 in (165 cm),,Orthodox,67,56,20,5,6,
1041,Clemente Sánchez,1947-07-09,"Monterrey, Mexico",Featherweight,,,Orthodox,59,45,29,11,3,
1042,Danny Lopez,,,,,,,,,,,,
1043,Salvador Sánchez,1959-01-26,"Santiago Tianguistenco, State of Mexico, Mexico",Bantamweight/Featherweight,5 ft 7 in (170 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,46,44,32,1,1,
1044,Eusebio Pedroza,1956-03-02,"Panama City, Panama",Bantamweight/Featherweight,173 cm (5 ft 8 in),174 cm (69 in),Orthodox,49,41,25,6,1,1
1045,Barry McGuigan,1961-02-28,"Clones, County Monaghan, Ireland",Featherweight,5 ft 6 in (1.68 m),70 in (178 cm),Orthodox,35,32,28,3,,
1046,Steve Cruz,1963-11-02,"Fort Worth, Texas, US",Featherweight,5 ft 6 in (1.68 m),,Orthodox,45,37,19,8,,
1047,Antonio Esparragoza,1959-09-02,"Cumaná, Venezuela",Featherweight,1.70 m (5 ft 7 in),,Orthodox,36,30,27,2,4,
1048,Guillermo Rigondeaux,1980-09-30,"Santiago de Cuba, Cuba",Bantamweight/Super bantamweight/Super featherweight,5 ft 4 in (163 cm)[1],67+1⁄2 in (171 cm)[1],Southpaw,26,22,15,3,,1
1049,Eddie Martin,,,,,,,,,,,,
1050,Charlie Phil Rosenberg,1902-08-15,"New York, New York",Bantamweight,5 ft 4 in (1.63 m),,,70[1](With newspaper decisions),40,7,20,10,
1051,Panama Al Brown,,,Flyweight/Bantamweight/Featherweight,5 ft 9 in (175 cm)[1],72.5 in (184 cm)[1],Orthodox,163,131,59,20,12,
1052,Baltasar Sangchili,1911-10-10,,Bantamweight,5 ft 1 in (155 cm),61 1/2 in,Orthodox,110[1],78,36,20,12,
1053,Tony Marino,1931-04-20,,,,,,,,,,,
1054,Sixto Escobar,,,Bantamweight,5 ft 4 in (163 cm),,Orthodox,66,39,17,23,4,0
1055,Lou Salica,1912-11-16,"Brooklyn, New York",Bantamweight,5 ft 4 in (1.63 m),,Orthodox,91,62,13,17,12,
1056,Manuel Ortiz,,,,,,,,,,,,
1057,Harold Dade,1923-03-24,"Chicago, Illinois, USA",Featherweight,5 ft 5 in (1.65 m),68 in (168 cm),Orthodox,76,39,8,31,6,
1058,Vic Toweel,1928-01-12,"Benoni, Gauteng, South Africa",Bantamweight,5 ft 5 in (1.65 m),69 in (168 cm),Orthodox,32,28,14,3,1,
1059,Jimmy Carruthers,1929-07-05,"Paddington, New South Wales",Bantamweight,5 ft 6 in (1.68 m),67 in (170 cm),Southpaw,25,21,13,4,,
1060,Robert Cohen,,,,,,,,,,,,
1061,Mario D'Agata,,,Bantamweight,1.57 m (5 ft 2 in),,Orthodox,67,54,22,10,3,
1062,Alphonse Halimi,1932-02-18,"Constantine, Algeria",,5 ft 3 in (1.60 m),5 ft 6 in (1.68 m),,51,42,21,8,1,0
1063,José Becerra,1936-04-15,"Guadalajara, Jalisco, Mexico",,5 ft 5 in / 165cm,,,75,67,42,5,3,
1064,Éder Jofre,1936-03-26,"São Paulo, Brazil",Bantamweight/Featherweight,1.63 m (5 ft 4 in),168 cm (66 in),Orthodox,78,72,50,2,4,
1065,Fighting Harada,1943-04-05,"Tokyo, Japan",Flyweight/Bantamweight/Featherweight,5 ft 3 in (160 cm),64 in (163 cm),Orthodox,62,55,22,7,,
1066,Lionel Rose,1948-06-21,"Labertouche, Victoria, Australia[1]",Bantamweight/Super-featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,53,42,12,11,,
1067,Rubén Olivares,1947-01-14,"Mexico City, Mexico",Super featherweight/Featherweight/Super bantamweight/Bantamweight,1.66 m (5 ft 5 in),170 cm (67 in),Orthodox,105,89,79,13,3,
1068,Chucho Castillo,1944-06-17,"Nuevo Valle de Moreno, Guanajuato, Mexico",Featherweight/Super bantamweight/Bantamweight,5 ft 4 in (163 cm),70 in (178 cm),Orthodox,66,47,23,17,2,0
1069,Rafael Herrera,1945-01-07,"Degollado, Jalisco, Mexico",Bantamweight,5 ft 4 in (163 cm),65 in (165 cm),Orthodox,60,47,20,9,4,
1070,Enrique Pinder,1947-08-07,"Panama City, Panama",Bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,44,35,13,7,2,
1071,Romeo Anaya,1946-04-05,"Cahuare, Chiapas, Mexico",Bantamweight/Super bantamweight,5 ft 4+1⁄2 in (1.64 m),,,72,50,42,21,1,
1072,Arnold Taylor,1945-07-15,"Johannesburg, Gauteng, South Africa",,5 ft 7 in (170 cm),69 in (175 cm),Orthodox,50,40,17,8,1,1
1073,Hong Soo-Hwan,1950-05-26,"Seoul, South Korea",Bantamweight/Super-bantamweight,5 ft 7 in (170 cm),,Orthodox,50,41,14,5,4,
1074,Alfonso Zamora,1954-02-09,"Mexico City, Mexico",Bantamweight,5 ft 4 in (163 cm),68 in (173 cm),Orthodox,38,33,32,5,,
1075,Jorge Luján,1955-03-18,"Colon, Panama",Bantamweight,5 ft 5 in (165 cm),,Orthodox,36,27,16,9,,
1076,Julian Solís,1957-01-07,"Rio Piedras, Puerto Rico",Bantamweight,5 ft 5 in (165 cm),,Orthodox,55,41,22,13,1,
1077,Jeff Chandler,1918-12-15,"New York City, U.S.",,,,,,,,,,
1078,Richie Sandoval,1960-10-18,"Pomona, California, U.S.",Bantamweight,5 ft 5+1⁄2 in (166 cm),66+1⁄2 in (169 cm),Orthodox,30,29,17,1,,
1079,Gaby Canizales,1960-05-01,"Laredo, Webb County, Texas",Bantamweight,5 ft 4 in (1.63 m),65 in (165 cm),Orthodox,57,48,36,8,1,
1080,Bernardo Piñango,1960-02-09,"Caracas, Venezuela",Bantamweight/Super bantamweight,5 ft 6+1⁄2 in (169 cm),66 in (168 cm),Orthodox,32,23,15,5,3,1
1081,Shinsuke Yamanaka,1982-10-11,"Konan, Shiga, Japan",Bantamweight,5 ft 7+1⁄2 in (171 cm),68+1⁄2 in (174 cm),Southpaw,31,27,19,2,2,
1082,Luis Nery,,,,,,,,,,,,
1083,Srisaket Sor Rungvisai,1986-12-08,"Uthumphon Phisai, Sisaket,Thailand",Super-flyweight/Bantamweight,5 ft 3 in (160 cm)[1],63 in (160 cm)[1],Southpaw,62,55,46,6,1,
1084,Juan Francisco Estrada,1990-04-14,"Puerto Peñasco, Sonora, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 4 in (163 cm)[1],66 in (168 cm)[1],Orthodox,47,44,28,3,,
1085,Pancho Villa,1878-06-05,,,,,,,,,,,
1086,Fidel LaBarba,,,Flyweight,5 ft 3 in (160 cm),66 in (168 cm),,94,72,15,15,7,
1087,Benny Lynch,1913-04-02,"Gorbals, Glasgow, Scotland",Flyweight,5 ft 4 in (1.63 m),65 in (165 cm),Orthodox,119,88,34,14,17,
1088,Peter Kane,,,Flyweight/Bantamweight,,,,100[1],89,54,8,2,1
1089,Jackie Paterson,1920-09-05,"Springside, Ayrshire, Scotland",Flyweight/Bantamweight,,,Southpaw,91,63,41,25,3,
1090,Rinty Monaghan,1918-08-21,"Belfast, Northern Ireland",Flyweight,5 ft 3 in (1.60 m),64 in (163 cm),,69,52,19,9,8,
1091,Terry Allen,,,,,,,,,,,,
1092,Dado Marino,,,Flyweight/Bantamweight,,,,74,57,21,14,3,
1093,Yoshio Shirai,1923-11-23,"Tokyo, Japan",Flyweight,,,Orthodox,58,46,18,8,4,
1094,Pascual Perez,,,,,,,,,,,,
1095,Pone Kingpetch,1935-02-12,"Hua Hin, Thailand",Flyweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,35,28,9,7,,
1096,Hiroyuki Ebihara,1940-03-26,"Fussa, Tokyo, Japan",Flyweight,5 ft 4 in (163 cm),,Southpaw,68,62,33,5,1,
1097,Salvatore Burruni,,,Flyweight,1.55 m (5 ft 1 in),,,109,99,33,9,1,
1098,Walter McGowan,,,Flyweight,,,,40,32,14,7,1,
1099,Chartchai Chionoi,1942-10-10,,,1.65 m (5 ft 5 in),166 cm (65 in),Orthodox,,61,,18,3,
1100,Efren Torres,1943-11-29,,Flyweight,1.63 m (5 ft 4 in),,Orthodox,,64,,9,1,
1101,Erbito Salavarria,1946-01-20,"Santa Cruz, Manila, Philippines",Flyweight,,,,54,40,11,11,3,0
1102,Venice Borkhorsor,1950-04-06,"Tha Uthen, Nakhon Phanom, Thailand",Flyweight/Bantamweight,,,Southpaw,57,49,36,8,,
1103,Miguel Canto,1948-01-30,"Mérida, Yucatán, Mexico",Flyweight,5 ft 0+1⁄2 in (154 cm),63 in (160 cm),Orthodox,74,61,15,9,4,
1104,Park Chan-Hee,1957-03-23,"Busan, First Republic of Korea(nowadays South Korea)",Light flyweight/Flyweight,5 ft 3+1⁄2 in (161 cm),,Orthodox,23,17,6,4,2,
1105,Shoji Oguma,1951-07-22,"Koriyama, Fukushima, Japan",Flyweight,5 ft 4 in (1.63 m),,Southpaw,49,38,20,10,1,
1106,Antonio Avelar,1958-08-28,"Guadalajara, Jalisco, Mexico",Lightweight/Featherweight/Bantamweight/Flyweight,5 ft 7 in (173 cm),72 in (183 cm),Orthodox,53,39,32,13,1,
1107,Prudencio Cardona,1951-12-22,"San Basilio de Palenque, Colombia",Flyweight,5 ft 6 in (170 cm),,Orthodox,63,39,27,23,1,
1108,Freddy Castillo,1955-06-15,"Mérida, Yucatán, Mexico",Light flyweight/Flyweight,5 ft 3 in (160 cm),,Southpaw,68,45,30,18,5,
1109,Eleoncio Mercedes,1957-09-12,"La Romana, Dominican Republic",Flyweight,5 ft 6 in (168 cm),,Orthodox,28,14,3,12,2,
1110,Charlie Magri,1956-07-20,"Tunis, Kingdom of Tunisia",Flyweight,5 ft 3 in (160 cm),64 in (163 cm),Orthodox,35,30,23,5,,
1111,Frank Cedeno,1958-03-16,"Talisay City, Cebu, Philippines",Flyweight,,,,56,43,23,10,3,
1112,Kōji Kobayashi,,,,,,,,,,,,
1113,Gabriel Bernal,1956-03-24,"Cruz Grande, Mexico",Flyweight,5 ft 2+1⁄2 in (159 cm),68 in (173 cm),Southpaw,60,43,28,14,3,
1114,Sot Chitalada,1962-05-05,"Saen Suk Subdistrict,Mueang Chonburi district,Chonburi province, Thailand",Light flyweight/Flyweight,5 ft 4 in (163 cm),68 in (173 cm),Orthodox,31,26,16,4,1,
1115,Kim Yong-Kang,1965-01-03,"Hwaseong, South Korea",Light flyweight/Flyweight/Super flyweight,5 ft 7 in (170 cm),,Orthodox,31,26,11,5,,
1116,Pongsaklek Wonjongkam,1977-08-11,"Bua Yai District, Nakhon Ratchasima Province",Light-flyweight/Flyweight/Super-bantamweight,5 ft 4 in (163 cm),63+1⁄2 in (161 cm),Southpaw,98,91,47,5,2,
1117,Sonny Boy Jaro,1982-03-24,"Silay City, Philippines",Mini flyweight/Light flyweight/Flyweight/Super flyweight,5 ft 2+1⁄2 in (159 cm),65+1⁄2 in (166 cm),Orthodox,66,45,32,16,5,
1118,Toshiyuki Igarashi,1984-01-17,"Koyoshi, Yurihonjō,[1] Japan",Flyweight,5 ft 5+1⁄2 in (166 cm),67+1⁄2 in (171 cm),Southpaw,29,23,12,3,3,
1119,Román González,,,,,,,,,,,,
1120,Rosendo Álvarez,1970-05-06,"Managua, Nicaragua",Mini flyweight/Light flyweight/Flyweight,5 ft 5 in (165 cm),65 in (165 cm),Orthodox,43,37,24,4,2,
1121,Hugo Cázares,1978-03-24,"Los Mochis, Sinaloa, Mexico",Light flyweight/Super flyweight,,,Southpaw,51,40,27,9,2,
1122,Iván Calderón,,,,,,,,,,,,
1123,Giovani Segura,1982-04-01,"Ciudad Altamirano, Mexico",Light flyweight/Flyweight,1.60 m (5 ft 3 in),168 cm (66 in),Southpaw,38,33,29,4,1,
1124,Kenshiro Teraji,1992-01-06,"Jōyō, Kyoto, Japan",Light-flyweight,5 ft 4+1⁄2 in (164 cm),64 in (163 cm),Orthodox,24,23,14,1,,
1125,Francesco Damiani,1958-10-04,"Bagnacavallo,Emilia-Romagna, Italy",Heavyweight,1.90 m (6 ft 3 in),,Orthodox,32,30,24,2,,
1126,Ray Mercer,1961-04-04,,Heavyweight,6 ft 1 in (185 cm),77 in (196 cm),Orthodox,,1,,0,1,
1127,Tommy Morrison,1969-01-02,,,6 ft 2 in (188 cm),76 in (193 cm),,,1,,0,1,
1128,Michael Bentt,1965-09-04,"London, England",Heavyweight,6 ft 3 in (191 cm),79 in (201 cm),Orthodox,13,11,6,2,,
1129,Herbie Hide,1971-08-27,"Amauzari, Nigeria",Cruiserweight/Heavyweight,6 ft 2 in (188 cm),75 in (191 cm),Orthodox,53,49,43,4,,
1130,Henry Akinwande,1965-10-12,"Dulwich, London, England",Heavyweight,6 ft 7 in (201 cm),86 in (218 cm),Orthodox,55,50,30,4,1,
1131,Corrie Sanders,1966-01-07,"Brits, North West,South Africa",Heavyweight,1.93 m (6 ft 4 in),196 cm (77 in),Southpaw,46,42,31,4,,
1132,Lamon Brewster,1973-06-05,"Indianapolis, Indiana, U.S.",Heavyweight,6 ft 2 in (188 cm),77 in (196 cm),Orthodox,41,35,30,6,,
1133,Siarhei Liakhovich,1976-05-29,"Vitebsk, Byelorussian SSR, Soviet Union (now Belarus)",Heavyweight,1.93 m (6 ft 4 in),189 cm (74 in),Orthodox,36,27,17,9,,
1134,Shannon Briggs,1971-12-04,"Brooklyn, New York City,New York, U.S.",Heavyweight,6 ft 4 in (193 cm),80 in (203 cm),Orthodox,68,60,53,6,1,1
1135,Sultan Ibragimov,1975-03-08,"Tlyarata, Dagestan ASSR,Russian SFSR, Soviet Union",Heavyweight,1.88 m (6 ft 2 in),193 cm (76 in),Southpaw,24,22,17,1,1,
1136,Joseph Parker,1992-01-09,"Auckland, New Zealand",Heavyweight,6 ft 4 in (193 cm)[1],193 cm (76 in)[1],Orthodox,37,34,23,3,,
1137,Boone Pultz,1959-11-18,,Cruiserweight,,,Southpaw,28,25,15,3,,
1138,Magne Havnå,1963-09-16,"Risør, Norway",Cruiserweight,,,,22,19,11,3,0,
1139,Tyrone Booze,1959-02-12,"Hartford, Connecticut, U.S.",Cruiserweight,,,Orthodox,37,22,8,12,2,1
1140,Markus Bott,1962-01-13,"Pforzheim, West Germany",Cruiserweight/Heavyweight,6 ft 0 in (183 cm),,Orthodox,33,28,20,5,,
1141,Nestor Hipolito Giovannini,1961-02-07,"Rafaela, Argentina",Light heavyweight/Cruiserweight,5 ft 9 in (175 cm),69 in (175 cm),Orthodox,52,38,16,10,4,
1142,Ralf Rocchigiani,1963-02-13,"Duisburg, Germany",Light Heavyweight/Cruiserweight,,,,58,42,17,9,7,0
1143,Johnny Nelson,1967-01-04,"Sheffield, West Riding of Yorkshire, England",Cruiserweight/Heavyweight,6 ft 2+1⁄2 in (189 cm),81 in (206 cm),Orthodox,59,45,29,12,2,
1144,Enzo Maccarinelli,1980-08-20,"Swansea, Wales",Light-heavyweight/Cruiserweight,6 ft 4 in (193 cm),74 in (188 cm),Orthodox,49,41,33,8,,
1145,Krzysztof Głowacki,1986-07-31,,Cruiserweight,1.83 m (6 ft 0 in),191 cm (75 in),,,1,,0,,
1146,Lawrence Okolie,1992-12-16,"Hackney, London England",Cruiserweight,6 ft 5 in (196 cm),82+1⁄2 in (210 cm),Orthodox,20,19,14,1,,
1147,Chris Billam-Smith,1990-08-02,"Epsom, England",Cruiserweight,6 ft 3 in (191 cm),75 in (191 cm),Orthodox,20,19,13,1,,
1148,Leeonzer Barber,,,,,,,,,,,,
1149,Julio César González,1976-07-30,"Guerrero Negro,Baja California Sur,Mexico",Light heavyweight/Cruiserweight,,,Orthodox,49,41,25,8,,
1150,Zsolt Erdei,1974-05-31,"Budapest, Hungary",Light-heavyweight/Cruiserweight,1.78 m (5 ft 10 in),183 cm (72 in),Orthodox,35,34,18,1,,
1151,Jürgen Brähmer,1978-10-05,"Stralsund, East Germany(now Germany)",Super-middleweight/Light-heavyweight,1.81 m (5 ft 11 in),181 cm (71 in),Southpaw,55,52,38,3,,
1152,Nathan Cleverly,1987-02-17,"Caerphilly, Wales",Light-heavyweight/Cruiserweight,6 ft 2 in (188 cm),76 in (193 cm),Orthodox,34,30,16,4,,
1153,Vyacheslav Shabranskyy,1987-05-01,"Zhytomyr, Ukrainian SSR, Soviet Union",Light-heavyweight/Cruiserweight,6 ft 3+1⁄2 in (192 cm),75 in (191 cm),Orthodox,24,21,17,2,1,
1154,Eleider Álvarez,1984-04-08,"Apartadó, Colombia[1]",Light-heavyweight,6 ft 0 in (183 cm),75+1⁄2 in (192 cm),Orthodox,27,25,13,2,,
1155,Joe Smith Jr.,1989-09-20,"Long Island, New York, U.S.",Light heavyweight,6 ft 0 in (183 cm)[1],76 in (193 cm)[1],Orthodox,33,28,22,5,,
1156,Chris Eubank,1966-08-08,"Dulwich, London, England",Middleweight/Super-middleweight/Cruiserweight,5 ft 10 in (178 cm)[1],73 in (185 cm)[1],Orthodox,52,45,23,5,2,
1157,Steve Collins,1964-07-21,"Cabra, Dublin, Ireland",Middleweight/Super-middleweight,6 ft (183 cm),71 in (180 cm),Orthodox,39,36,21,3,,
1158,Denis Inkin,1978-01-07,"Novosibirsk, Russian SFSR, Soviet Union",Super middleweight,182 cm (6 ft 0 in),,Orthodox,35,34,24,1,,
1159,Károly Balzsay,1979-07-23,"Kecskemét, Bács-Kiskun,Hungary",Super-middleweight,1.83 m (6 ft 0 in),,Southpaw,27,25,18,2,,
1160,Robert Stieglitz,1981-06-20,"Yeysk, Krasnodar Krai, Russian SFSR, Soviet Union",Super-middleweight/Light-heavyweight,1.80 m (5 ft 11 in),,Orthodox,57,50,29,5,2,
1161,Gilberto Ramírez,1991-06-19,"Mazatlán, Sinaloa, Mexico",Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 3 in (191 cm)[1],75 in (191 cm)[1],Southpaw,46,45,30,1,,
1162,Billy Joe Saunders,1989-08-30,"Welwyn Garden City, Hertfordshire, England",Middleweight/Super-middleweight,5 ft 11 in (180 cm)[1],71 in (180 cm)[1],Southpaw,31,30,14,1,,
1163,Doug DeWitt,1961-08-13,"Youngstown, Ohio, U.S.",Middleweight,5 ft 9 in (175 cm),65+1⁄2 in (166 cm),Orthodox,46,33,19,8,5,
1164,Nigel Benn,1964-01-22,"Ilford, East London, England",Middleweight/Super-middleweight,5 ft 9+1⁄2 in (177 cm)[1],73 in (185 cm)[1],Orthodox,48,42,35,5,1,
1165,Gerald McClellan,1967-10-23,"Freeport, Illinois, U.S.",Middleweight/Super middleweight,6 ft 1 in (185 cm)[1],77 in (196 cm)[1],Orthodox,34,31,29,3,,
1166,Chris Pyatt,1963-07-03,"Islington, England",Light middleweight/Middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,51,46,33,5,,
1167,Lonnie Bradley,1968-09-16,"Charleston, South Carolina, U.S.",Middleweight,5 ft 11 in (180 cm),76 in (193 cm),Orthodox,31,29,21,1,1,
1168,Otis Grant,1967-12-23,"Saint Ann Parish, Jamaica",Middleweight/Super middleweight/Light heavyweight,5 ft 9+1⁄2 in (177 cm),71 in (180 cm),Southpaw,42,38,17,3,1,0
1169,Bert Schenk,1970-11-14,"Berlin, Germany",Middleweight,5 ft 9+1⁄2 in (177 cm),74 in (188 cm),Southpaw,38,36,23,2,0,0
1170,Jason Matthews,,,,,,,,,,,,
1171,Armand Krajnc,1973-08-07,"Landskrona, Scania,Sweden",Middleweight/Super-middleweight,1.81 m (5 ft 11 in),191 cm (75 in),Orthodox,32,29,21,3,,
1172,Harry Simon,,,,,,,,,,,,
1173,Héctor Velazco,1973-05-20,"Avellaneda, Argentina",Middleweight/Super middleweight,179 cm (5 ft 10 in),,Orthodox,47,37,16,9,1,
1174,Dmitry Pirog,1980-06-27,"Temryuk, Russian SFSR, Soviet Union (now Russia)",Middleweight,1.85 m (6 ft 1 in),178 cm (70 in),Orthodox,20,20,15,,,
1175,Hassan N'Dam N'Jikam,1984-02-18,"Buea, Cameroon",Middleweight/Super-middleweight,1.81 m (5 ft 11 in)[1],1.87 m (74 in)[1],Orthodox,44,38,21,6,,
1176,Peter Quillin,1983-06-22,"Chicago, Illinois, U.S.",Middleweight/Super middleweight,5 ft 11 in (180 cm),72+1⁄2 in (184 cm),Orthodox,38,34,23,2,1,1
1177,Andy Lee,,,,,,,,,,,,
1178,Demetrius Andrade,1988-02-26,"Providence, Rhode Island, U.S.",Light middleweight/Middleweight/Super middleweight,6 ft 1 in (185 cm)[1],73+1⁄2 in (187 cm)[1],Southpaw,33,32,19,1,,
1179,John David Jackson,,,,,,,,,,,,
1180,Paul Jones,,,,,,,,,,,,
1181,Bronco McKart,1971-03-20,"Monroe, Michigan, U.S.",Welterweight/Light middleweight/Middleweight,6 ft 0 in (1.83 m),72 in (183 cm),Southpaw,68,56,34,11,1,
1182,Daniel Santos,,,,,,,,,,,,
1183,Serhiy Dzyndzyruk,1976-03-01,"Nyzhnohirskyi, Ukrainian SSR, Soviet Union",Light middleweight/Middleweight,6 ft 0 in (183 cm),68 in (173 cm),Southpaw,40,37,24,2,1,
1184,Liam Smith,,,,,,,,,,,,
1185,Sadam Ali,1988-09-26,"Brooklyn, New York City,New York, U.S.",Welterweight/Light middleweight,5 ft 8 in (173 cm)[1],73 in (185 cm),Orthodox,30,27,14,3,,
1186,Jaime Munguía,1996-10-06,"Tijuana, Baja California, Mexico",Light middleweight/Middleweight/Super middleweight,6 ft 0 in (183 cm),72 in (183 cm),Orthodox,43,43,34,,,
1187,Patrick Teixeira,1990-12-05,"Sombrio, Brazil",Light middleweight/Middleweight,5 ft 11+1⁄2 in (182 cm),76+1⁄2 in (194 cm),Southpaw,37,33,24,4,,
1188,Brian Castaño,1989-09-12,"Isidro Casanova, Argentina",Light middleweight,5 ft 7.5 in (171 cm),68 in (173 cm),Orthodox,20,17,12,1,2,
1189,Tim Tszyu,1994-11-02,"Sydney, Australia",Light-middleweight,5 ft 9 in (175 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,24,24,17,,,
1190,Genaro León,,,,,,,,,,,,
1191,Manning Galloway,1960-04-27,"Columbus, Ohio",Welterweight,5 ft 9 in (1.75 m),,Southpaw,85,63,14,19,1,2
1192,Gert Bo Jacobsen,1961-12-18,"Østrup, Denmark",Welterweight,5 ft 9 in (175 cm),,Orthodox,49,43,30,5,0,1
1193,Eamonn Loughran,1970-06-05,"Ballymena, Northern Ireland",Welterweight/Light-middleweight,5 ft 9 in (175 cm),,,30,26,12,2,1,
1194,José Luis López,,,,,,,,,,,,
1195,Mihai Leu,1969-02-13,"Hunedoara, Hunedoara County, Romania",Welterweight,5 ft 7+1⁄2 in (171 cm),,Orthodox,28,28,10,0,0,
1196,Akhmed Kotiev,1968-01-15,"Vladikavkaz, Russia",Welterweight,5 ft 8 in (173 cm),,Orthodox,30,27,15,2,,1
1197,Paul Williams,,,,,,,,,,,,
1198,Carlos Quintana,,,,,,,,,,,,
1199,Timothy Bradley,1983-08-29,"Palm Springs, California, U.S.",Light welterweight/Welterweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,37,33,13,2,1,1
1200,Jessie Vargas,1989-05-10,"Los Angeles, California, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 11 in (180 cm)[1],71 in (180 cm)[1],Orthodox,35,29,11,4,2,
1201,Jeff Horn,1988-02-04,"Brisbane, Queensland, Australia",Welterweight/Light Middleweight/Middleweight,5 ft 9 in (175 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,24,20,13,3,1,
1202,Héctor Camacho,1962-05-24,"Bayamón, Puerto Rico",Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight/Middleweight/Super middleweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Southpaw,88,79,38,6,3,
1203,Carlos González,,,,,,,,,,,,
1204,Zack Padilla,1963-03-15,"Azusa, California, U.S.",Light welterweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,24,22,14,1,1,
1205,Sammy Fuentes,,,,,,,,,,,,
1206,Giovanni Parisi,,,Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm),,Orthodox,47,41,29,5,1,
1207,DeMarcus Corley,1974-06-03,"Washington, D.C., U.S.",Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),70 in (178 cm),Southpaw,87,52,28,34,1,
1208,Ricardo Torres,,,,,,,,,,,,
1209,Kendall Holt,1981-06-14,"Paterson, New Jersey, U.S.",Light welterweight,5 ft 9 in (175 cm),74 in (188 cm),Orthodox,34,28,16,6,,
1210,Mike Alvarado,1980-07-28,"Denver, Colorado, U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),69+1⁄2 in (177 cm),Orthodox,45,40,28,5,,
1211,Ruslan Provodnikov,1984-01-20,"Beryozovo, Soviet Union",Light welterweight/Welterweight,1.68 m (5 ft 6 in),168 cm (66 in),Orthodox,30,25,18,5,,
